Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Jordan Poole,SG,23,GSW,36,17,29.1,6.7,15.7,.427,2.4,7.8,.309,4.3,7.9,.544,.504,3.9,4.6,.866,0.3,1.9,2.2,4.3,0.7,0.3,3.4,2.3,19.8,3901399
Jordan Schakel,SF,24,WAS,2,0,3.0,0.5,1.0,.500,0.5,0.5,1.000,0.0,0.5,.000,.750,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,
Jose Alvarado,PG,24,NOP,33,7,20.7,3.3,7.8,.424,1.5,4.2,.350,1.8,3.6,.508,.518,1.0,1.4,.739,0.5,1.8,2.3,3.0,1.3,0.1,1.4,2.2,9.1,1563518
Josh Christopher,SG,21,HOU,20,0,6.9,1.1,2.7,.415,0.2,0.7,.214,1.0,2.0,.487,.443,0.3,0.4,.750,0.3,0.8,1.1,0.6,0.3,0.1,0.6,0.7,2.7,2372160
Josh Giddey,SG,20,OKC,29,29,30.7,6.3,13.6,.462,1.0,3.0,.337,5.3,10.6,.497,.499,1.0,1.4,.725,1.8,6.3,8.1,5.6,0.7,0.5,3.2,2.0,14.6,6287400
Josh Green,SG,22,DAL,25,1,20.3,2.4,4.1,.583,1.0,2.2,.444,1.4,2.0,.735,.699,1.3,1.8,.711,0.9,1.4,2.3,1.2,0.9,0.0,0.7,2.5,7.0,3098400
Josh Hart,SG,27,POR,32,32,34.6,3.7,7.3,.511,0.7,2.0,.349,3.0,5.3,.571,.558,1.8,2.3,.767,2.0,6.5,8.5,3.9,1.3,0.1,1.7,2.7,9.9,12960000
Josh Minott,SF,20,MIN,6,0,2.5,0.5,0.8,.600,0.0,0.2,.000,0.5,0.7,.750,.600,0.7,0.7,1.000,0.3,0.2,0.5,0.3,0.2,0.2,0.0,0.2,1.7,1017781
Josh Okogie,SG,24,PHO,31,0,11.8,1.5,3.6,.398,0.4,1.5,.250,1.1,2.1,.508,.451,1.1,1.5,.745,1.4,1.6,3.0,1.1,0.6,0.4,0.7,1.4,4.4,1836090
Josh Richardson,SG,29,SAS,24,3,23.1,3.7,9.2,.400,1.8,5.0,.353,1.9,4.2,.455,.495,1.5,1.8,.857,0.5,1.8,2.3,2.8,0.8,0.1,1.7,1.7,10.6,12196094
