% ESTADÍSTICAS JUGADORES NBA
%
% Autor: Unai Salaberria
%
% Descripción: Este dataset contiene las estadísticas de todos los jugadores de la NBA en la temporada 22-23
% hasta el 26 de diciembre de 2022.
% 
% La variable clase es numérica, por lo que se trata de un problema de regresión.
%
% Número de casos: 499
%
% Número de variables: 29
%
% Clase: Salario del jugador
%
@relation my_nba

@attribute Player {'A.J. Green','A.J. Lawson','AJ Griffin','Aaron Gordon','Aaron Holiday','Aaron Nesmith','Aaron Wiggins','Admiral Schofield','Al Horford','Alec Burks','Aleksej Pokusevski','Alex Caruso','Alex Len','Alize Johnson','Alondes Williams','Alperen Şengün','Amir Coffey','Andre Drummond','Andrew Nembhard','Andrew Wiggins','Anfernee Simons','Anthony Davis','Anthony Edwards','Anthony Gill','Anthony Lamb','Austin Reaves','Austin Rivers','Ayo Dosunmu','Bam Adebayo','Ben Simmons','Bennedict Mathurin','Bismack Biyombo','Blake Griffin','Blake Wesley','Boban Marjanović','Bobby Portis','Bogdan Bogdanović','Bojan Bogdanović','Bol Bol','Bones Hyland','Bradley Beal','Brandon Boston Jr.','Brandon Clarke','Brandon Ingram','Braxton Key','Brook Lopez','Bruce Brown','Bruno Fernando','Bryce McGowens','Bryn Forbes','Buddy Boeheim','Buddy Hield','CJ McCollum','Cade Cunningham','Caleb Houstan','Caleb Martin','Cam Reddish','Cam Thomas','Cameron Johnson','Cameron Payne','Caris LeVert','Cedi Osman','Charles Bassey','Chima Moneke','Chimezie Metu','Chris Boucher','Chris Duarte','Chris Paul','Christian Braun','Christian Koloko','Christian Wood','Chuma Okeke','Clint Capela','Coby White','Cody Martin','Cole Anthony','Cole Swider','Collin Sexton','Corey Kispert','Cory Joseph','DAngelo Russell','Daishen Nix','Dalano Banton','Dalen Terry','Damian Jones','Damian Lillard','Damion Lee','Daniel Gafford','Danuel House Jr.','Dario Šarić','Darius Bazley','Darius Garland','David Duke Jr.','David Roddy','Davion Mitchell','Davon Reed','DayRon Sharpe','DeAaron Fox','DeAndre Hunter','DeAnthony Melton','DeAndre Jordan','DeMar DeRozan','Dean Wade','Deandre Ayton','Dejounte Murray','Delon Wright','Deni Avdija','Dennis Schröder','Dennis Smith Jr.','Dereon Seabron','Derrick Jones Jr.','Derrick Rose','Derrick White','Desmond Bane','Devin Booker','Devin Vassell','Devon Dotson','Devonte Graham','Dewayne Dedmon','Dillon Brooks','Domantas Sabonis','Dominick Barlow','Donovan Mitchell','Donte DiVincenzo','Dorian Finney-Smith','Doug McDermott','Draymond Green','Drew Eubanks','Dru Smith','Duane Washington Jr.','Duncan Robinson','Dwight Powell','Dyson Daniels','Davis Bertans','Edmond Sumner','Eric Gordon','Eugene Omoruyi','Evan Fournier','Evan Mobley','Facundo Campazzo','Frank Kaminsky','Frank Ntilikina','Franz Wagner','Fred VanVleet','Furkan Korkmaz','Gabe Vincent','Garrett Temple','Garrison Mathews','Gary Harris','Gary Trent Jr.','George Hill','Georges Niang','Giannis Antetokounmpo','Goga Bitadze','Goran Dragić','Gordon Hayward','Gorgui Dieng','Grant Williams','Grayson Allen','Greg Brown III','Hamidou Diallo','Harrison Barnes','Haywood Highsmith','Herbert Jones','Immanuel Quickley','Isaac Okoro','Isaiah Hartenstein','Isaiah Jackson','Isaiah Joe','Isaiah Livers','Isaiah Mobley','Isaiah Roby','Isaiah Stewart','Isaiah Todd','Ish Smith','Ish Wainright','Ivica Zubac','JD Davison','JT Thor','Ja Morant','JaMychal Green','JaVale McGee','Jabari Smith Jr.','Jabari Walker','Jack White','Jaden Hardy','Jaden Ivey','Jaden McDaniels','Jaden Springer','JaeSean Tate','Jake LaRavia','Jakob Poeltl','Jalen Brunson','Jalen Duren','Jalen Green','Jalen Johnson','Jalen McDaniels','Jalen Smith','Jalen Suggs','Jalen Williams','Jamal Cain','Jamal Murray','James Bouknight','James Harden','James Johnson','James Wiseman','Jaren Jackson Jr.','Jarred Vanderbilt','Jarrett Allen','Jarrett Culver','Jason Preston','Javonte Green','Jaxson Hayes','Jaylen Brown','Jaylen Nowell','Jaylin Williams','Jayson Tatum','Jeff Dowtin','Jeff Green','Jerami Grant','Jeremiah Robinson-Earl','Jeremy Sochan','Jericho Sims','Jevon Carter','Jimmy Butler','Jock Landale','Joe Harris','Joe Ingles','Joel Embiid','John Butler','John Collins','John Konchar','John Wall','Johnny Davis','Jonas Valanciunas','Jonathan Kuminga','Jordan Clarkson','Jordan Goodwin','Jordan Hall','Jordan McLaughlin','Jordan Nwora','Jordan Poole','Jordan Schakel','Jose Alvarado','Josh Christopher','Josh Giddey','Josh Green','Josh Hart','Josh Minott','Josh Okogie','Josh Richardson','Joshua Primo','Jrue Holiday','Juan Toscano-Anderson','Juancho Hernangómez','Julian Champagnie','Julius Randle','Justin Champagnie','Justin Holiday','Justin Jackson','Justise Winslow','Jusuf Nurkić','KZ Okpala','Kai Jones','Karl-Anthony Towns','Kawhi Leonard','Keegan Murray','Keita Bates-Diop','Keldon Johnson','Kelly Olynyk','Kelly Oubre Jr.','Kemba Walker','Kendall Brown','Kendrick Nunn','Kennedy Chandler','Kenneth Lofton Jr.','Kenrich Williams','Kentavious Caldwell-Pope','Kenyon Martin Jr.','Keon Ellis','Keon Johnson','Kessler Edwards','Kevin Durant','Kevin Huerter','Kevin Knox','Kevin Love','Kevin Porter Jr.','Kevon Harris','Kevon Looney','Khem Birch','Khris Middleton','Killian Hayes','Kira Lewis Jr.','Klay Thompson','Kristaps Porzingis','Kyle Anderson','Kyle Kuzma','Kyle Lowry','Kyrie Irving','LaMelo Ball','Lamar Stevens','Landry Shamet','Larry Nance Jr.','Lauri Markkanen','LeBron James','Leandro Bolmaro','Lindy Waters III','Lonnie Walker IV','Luguentz Dort','Luka Doncić','Luka Garza','Luke Kennard','Luke Kornet','Malachi Flynn','Malaki Branham','Malcolm Brogdon','Malcolm Hill','Malik Beasley','Malik Monk','Mamadi Diakite','MarJon Beauchamp','Marcus Morris','Marcus Smart','Mark Williams','Markelle Fultz','Markieff Morris','Marko Simonovic','Marvin Bagley III','Mason Plumlee','Matisse Thybulle','Matt Ryan','Matthew Dellavedova','Max Christie','Max Strus','Maxi Kleber','McKinley Wright IV','Mfiondu Kabengele','Micah Potter','Michael Foster Jr.','Michael Porter Jr.','Mikal Bridges','Mike Conley','Mike Muscala','Miles McBride','Mitchell Robinson','Mo Bamba','Monte Morris','Montrezl Harrell','Moritz Wagner','Moses Brown','Moses Moody','Moussa Diabaté','Myles Turner','Naji Marshall','Nassir Little','Nathan Knight','Naz Reid','Neemias Queta','Nerlens Noel','Nic Claxton','Nick Richards','Nickeil Alexander-Walker','Nicolas Batum','Nikola Jokić','Nikola Jović','Nikola Vucević','Noah Vonleh','Norman Powell','OG Anunoby','Obi Toppin','Ochai Agbaji','Onyeka Okongwu','Orlando Robinson','Oshae Brissett','Otto Porter Jr.','Ousmane Dieng','P.J. Tucker','P.J. Washington','Paolo Banchero','Pascal Siakam','Pat Connaughton','Patrick Baldwin Jr.','Patrick Beverley','Patrick Williams','Patty Mills','Paul George','Paul Reed','Payton Pritchard','Peyton Watson','Precious Achiuwa','Quentin Grimes','R.J. Hampton','RJ Barrett','Raul Neto','Reggie Bullock','Reggie Jackson','Richaun Holmes','Robert Covington','Robert Williams','Robin Lopez','Rodney McGruder','Romeo Langford','Ron Harper Jr.','Royce ONeale','Rudy Gay','Rudy Gobert','Rui Hachimura','Russell Westbrook','Ryan Arcidiacono','Ryan Rollins','Saben Lee','Saddiq Bey','Sam Hauser','Sandro Mamukelashvili','Santi Aldama','Scottie Barnes','Scotty Pippen Jr.','Serge Ibaka','Seth Curry','Shaedon Sharpe','Shai Gilgeous-Alexander','Shake Milton','Simone Fontecchio','Spencer Dinwiddie','Stanley Johnson','Stephen Curry','Steven Adams','Svi Mykhailiuk','T.J. McConnell','T.J. Warren','Taj Gibson','Talen Horton-Tucker','Tari Eason','Taurean Prince','Terance Mann','Terence Davis','Terrence Ross','Terry Rozier','Terry Taylor','Thaddeus Young','Thanasis Antetokounmpo','Theo Pinson','Thomas Bryant','Théo Maledon','Tim Hardaway Jr.','Tobias Harris','Tony Bradley','Torrey Craig','Trae Young','Tre Jones','Tre Mann','Trendon Watford','Trent Forrest','Trevelin Queen','Trevor Hudgins','Trevor Keels','Trey Lyles','Trey Murphy III','Troy Brown Jr.','Ty Jerome','TyTy Washington Jr.','Tyler Dorsey','Tyler Herro','Tyrese Haliburton','Tyrese Martin','Tyrese Maxey','Tyus Jones','Udoka Azubuike','Udonis Haslem','Usman Garuba','Vernon Carey Jr.','Victor Oladipo','Vince Williams Jr.','Vit Krejci','Vlatko Cancar','Walker Kessler','Wendell Carter Jr.','Wendell Moore Jr.','Wenyen Gabriel','Wesley Matthews','Will Barton','Willy Hernangómez','Xavier Tillman Sr.','Yuta Watanabe','Zach Collins','Zach LaVine','Zeke Nnaji','Ziaire Williams','Zion Williamson'}
@attribute Pos {SG,SF,PF,PG,C}
@attribute Age numeric
@attribute Tm {MIL,MIN,ATL,DEN,IND,OKC,ORL,BOS,DET,CHI,SAC,SAS,BRK,HOU,LAC,GSW,POR,LAL,WAS,MIA,PHO,MEM,NOP,CHO,NYK,CLE,TOR,DAL,UTA,PHI,TOT}
@attribute G numeric
@attribute GS numeric
@attribute MP numeric
@attribute FG numeric
@attribute FGA numeric
@attribute 'FG\%' numeric
@attribute 3P numeric
@attribute 3PA numeric
@attribute '3P\%' numeric
@attribute 2P numeric
@attribute 2PA numeric
@attribute '2P\%' numeric
@attribute 'eFG\%' numeric
@attribute FT numeric
@attribute FTA numeric
@attribute 'FT\%' numeric
@attribute ORB numeric
@attribute DRB numeric
@attribute TRB numeric
@attribute AST numeric
@attribute STL numeric
@attribute BLK numeric
@attribute TOV numeric
@attribute PF numeric
@attribute PTS numeric
@attribute Salary numeric

@data
'Braxton Key',SF,25,DET,3,0,3,0.3,0.3,1,0,0,?,0.3,0.3,1,1,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,1.3,?
'Brook Lopez',C,34,MIL,32,32,30.6,5.6,10.9,0.511,2.1,5.2,0.401,3.5,5.7,0.613,0.608,1.7,2.1,0.803,1.8,4.1,5.9,1.2,0.5,2.5,1.3,2.2,14.9,13906976
'Bruce Brown',PG,26,DEN,33,18,29.5,4.3,8.8,0.49,1.2,3.1,0.398,3.1,5.7,0.54,0.56,0.9,1.2,0.795,0.9,3.2,4.1,4.1,0.9,0.6,1.6,2.5,10.8,6479000
'Bruno Fernando',C,24,HOU,17,3,10.9,1.6,2.8,0.583,0,0.1,0,1.6,2.8,0.596,0.583,0.8,1.3,0.636,1.6,2.1,3.7,1.1,0.3,0.7,0.6,2.2,4.1,2717391
'Bryce McGowens',SG,20,CHO,13,0,14.3,1.4,3.5,0.4,0.5,1.2,0.375,0.9,2.2,0.414,0.467,0.8,0.9,0.917,0.2,1.2,1.4,1,0.3,0.3,0.5,0.5,4.1,?
'Bryn Forbes',SG,29,MIN,20,0,10.5,1.2,3.4,0.338,0.5,1.8,0.257,0.7,1.7,0.424,0.404,0.5,0.5,1,0.2,0.4,0.6,0.6,0.4,0.1,0.4,0.8,3.3,1836090
'Buddy Boeheim',PG,23,DET,1,0,1,0,0,?,0,0,?,0,0,?,?,0,0,?,0,0,0,0,0,0,0,0,0,?
'Buddy Hield',SG,30,IND,35,35,31.6,6.3,14,0.454,3.8,9,0.419,2.6,5,0.517,0.589,1.2,1.4,0.857,0.9,3.8,4.7,2.6,0.9,0.3,2,1.9,17.7,21177750
'CJ McCollum',SG,31,NOP,29,29,35.2,7.4,18,0.414,2.5,6.9,0.365,4.9,11.1,0.444,0.484,1.9,2.3,0.836,0.9,4.2,5.2,6.1,1,0.7,2.5,1.8,19.3,33333333
'Cade Cunningham',PG,21,DET,12,12,33.3,7.8,18.7,0.415,1.4,5.1,0.279,6.3,13.6,0.466,0.453,3,3.6,0.837,1,5.2,6.2,6,0.8,0.6,3.3,2.8,19.9,10552800
'Caleb Houstan',SF,20,ORL,23,1,17.7,1.3,3.6,0.373,1,2.6,0.367,0.4,1,0.391,0.506,0.5,0.6,0.846,0.7,1.8,2.4,0.7,0.2,0.1,0.3,1.6,4.1,2000000
'Caleb Martin',PF,27,MIA,31,31,32.3,4.1,8.9,0.457,1.5,3.8,0.385,2.6,5.1,0.509,0.538,1.1,1.4,0.786,1.6,3.2,4.8,1.9,1.1,0.4,1.2,1.9,10.6,6479000
'Cam Reddish',SF,23,NYK,20,8,21.9,3.1,6.8,0.449,0.9,2.8,0.304,2.2,4,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1,0.8,0.4,0.8,1.6,8.4,5954454
'Cam Thomas',SG,21,BRK,25,0,14.1,2.1,5.3,0.402,0.4,1.2,0.367,1.7,4.1,0.412,0.443,1.9,2.4,0.783,0.1,1.2,1.3,1.4,0.4,0.1,0.8,0.9,6.6,2138160
'Cameron Johnson',PF,26,PHO,8,8,25.3,4.6,10.4,0.446,2.8,6.4,0.431,1.9,4,0.469,0.578,1,1.4,0.727,0.6,2.8,3.4,1.8,1.1,0.4,0.3,1.8,13,5887899
'Cameron Payne',PG,28,PHO,26,14,24.8,4.7,11.4,0.416,1.8,4.8,0.387,2.9,6.6,0.436,0.497,1.4,1.8,0.766,0.3,2,2.4,5.3,1,0.2,2,2.1,12.7,6000000
'Caris LeVert',SG,28,CLE,31,16,30.4,4.1,10.5,0.395,1.4,4.1,0.349,2.7,6.4,0.424,0.463,1.9,2.5,0.759,0.7,3.4,4.1,3.8,0.7,0.1,1.6,2.3,11.6,18796296
'Cedi Osman',SF,27,CLE,34,0,22.9,3.6,7.6,0.467,1.3,4,0.328,2.2,3.6,0.623,0.554,1.1,1.6,0.679,0.3,2.3,2.6,1.6,0.5,0.1,0.8,1.8,9.5,7426088
'Charles Bassey',C,22,SAS,23,1,13.6,2,3,0.671,0.1,0.3,0.333,2,2.8,0.703,0.686,0.7,1,0.667,1.9,3.3,5.2,1.2,0.3,1,1.1,2.1,4.9,74742
'Chima Moneke',SF,27,SAC,2,0,4,0.5,1,0.5,0,0,?,0.5,1,0.5,0.5,0,1,0,1,0,1,0.5,0,0,1,1,1,1017781
'Chimezie Metu',C,25,SAC,25,0,11.1,2.1,3.6,0.584,0.2,0.8,0.238,1.9,2.7,0.691,0.612,0.6,0.8,0.8,0.6,2.4,3,0.6,0.4,0.2,0.7,1.1,5,1910860
'Chris Boucher',PF,30,TOR,29,0,22.2,3.6,7.9,0.45,0.8,2.8,0.272,2.8,5.1,0.547,0.498,2.4,3.2,0.763,2.2,3.9,6.1,0.5,0.7,0.7,0.7,2.4,10.3,12690000
'Chris Duarte',SF,25,IND,14,5,18.7,2.9,7.6,0.374,1.3,4.1,0.316,1.6,3.6,0.44,0.458,0.9,1.2,0.765,0.4,1.7,2.1,1.4,0.2,0.3,0.9,1.7,7.9,3936960
'Chris Paul',PG,37,PHO,21,21,31.4,4,10,0.405,1.5,4.1,0.368,2.5,5.9,0.431,0.481,2.7,3.4,0.792,0.5,3.9,4.4,9,1.5,0.2,1.9,2.5,12.3,28400000
'Christian Braun',SG,21,DEN,30,1,14.6,1.4,3.2,0.442,0.4,1.1,0.324,1,2,0.508,0.5,0.4,0.7,0.524,0.6,1.5,2.2,0.6,0.3,0.2,0.4,1.1,3.5,2808600
'Christian Koloko',C,22,TOR,32,17,16.2,1.3,2.9,0.447,0,0.2,0,1.3,2.7,0.483,0.447,1,1.5,0.673,1.7,1.7,3.3,0.5,0.3,1.2,0.5,2.6,3.7,1500000
'Christian Wood',PF,27,DAL,32,7,28,6.4,11.9,0.538,1.6,4.3,0.38,4.8,7.6,0.627,0.606,2.9,4.1,0.712,1.2,6.9,8,1.5,0.5,0.9,2.3,2.8,17.4,14317459
'Chuma Okeke',PF,24,ORL,18,7,21.8,1.8,4.8,0.368,1,3.3,0.3,0.8,1.5,0.519,0.471,0.9,1.2,0.762,1.2,3.1,4.2,1.4,0.6,0.5,0.5,1.9,5.4,3433320
'Clint Capela',C,28,ATL,27,27,27.5,5.4,8.6,0.636,0,0,?,5.4,8.6,0.636,0.636,1.1,1.9,0.6,4.3,7.6,11.9,0.7,0.6,1.3,1,2.4,12,18706896
'Coby White',PG,22,CHI,25,0,21,2.9,7,0.411,1.6,4.7,0.347,1.2,2.3,0.544,0.529,0.9,1.1,0.786,0.2,2.3,2.4,1.9,0.7,0.2,0.9,1.8,8.3,7413955
'Cody Martin',SF,27,CHO,1,0,1,0,0,?,0,0,?,0,0,?,?,0,0,?,0,0,0,0,0,0,0,0,0,7000000
'Cole Anthony',PG,22,ORL,18,3,26.1,4.7,10.6,0.442,1.4,3.9,0.357,3.3,6.7,0.492,0.508,2.4,2.7,0.898,0.4,4.1,4.5,4.3,0.8,0.3,1.7,3.3,13.2,3613680
'Cole Swider',SF,23,LAL,1,0,2,0,1,0,0,1,0,0,0,?,0,0,0,?,0,1,1,1,0,0,0,0,0,?
'Collin Sexton',SG,24,UTA,29,10,24.2,4.9,9.9,0.498,1,2.5,0.384,4,7.4,0.537,0.547,3.6,4.3,0.839,0.8,1.5,2.3,2.9,0.6,0.1,1.8,2.3,14.4,16500000
'Corey Kispert',SF,23,WAS,27,16,27.7,3.4,7,0.484,1.7,4.3,0.4,1.7,2.8,0.613,0.605,0.9,1.1,0.774,0.6,2,2.5,1.5,0.6,0.1,0.6,1.6,9.4,3552840
'Cory Joseph',PG,31,DET,29,2,14.8,1.7,4.1,0.408,0.6,1.8,0.346,1.1,2.3,0.456,0.483,0.5,0.7,0.7,0.2,0.9,1.1,3.1,0.3,0.1,0.6,1.3,4.5,5155500
'DAngelo Russell',PG,26,MIN,32,32,32.6,6.1,13.3,0.46,2.3,6.6,0.357,3.8,6.7,0.561,0.548,2,2.5,0.797,0.6,2.7,3.3,6.6,1.1,0.5,2.9,2.2,16.5,31377750
'Daishen Nix',PG,20,HOU,29,0,15.1,1.2,3.5,0.347,0.7,2.3,0.313,0.5,1.2,0.412,0.45,0.5,0.7,0.714,0.3,1.4,1.7,2.6,0.8,0.1,1.4,1,3.7,1563518
'Dalano Banton',PG,23,TOR,22,2,10.1,2,4.7,0.423,0.6,2,0.302,1.4,2.8,0.508,0.486,0.6,0.8,0.824,0.4,1,1.5,1.2,0.5,0.5,0.6,1.1,5.2,1563518
'Dalen Terry',SG,20,CHI,13,0,3.7,0.3,0.9,0.333,0.1,0.3,0.25,0.2,0.6,0.375,0.375,0.2,0.3,0.75,0,0.3,0.3,0.5,0.1,0.2,0.3,0.3,0.9,3191400
'Damian Jones',C,27,LAL,18,1,9.3,1.1,2,0.556,0,0.2,0,1.1,1.8,0.606,0.556,0.8,1.1,0.75,1,1.9,2.9,0.2,0.2,0.6,0.4,0.8,3.1,2298385
'Damian Lillard',PG,32,POR,22,22,35.1,8.3,18.8,0.441,4.2,11.1,0.38,4,7.6,0.53,0.553,6.7,7.4,0.908,0.6,3.2,3.8,7.2,0.8,0.3,3.5,1.9,27.5,42492492
'Damion Lee',SG,30,PHO,35,2,21.8,2.9,6.1,0.467,1.9,3.9,0.489,1,2.3,0.43,0.621,1,1,0.944,0.7,2.8,3.5,1.2,0.4,0.1,0.9,1.5,8.6,1836090
'Daniel Gafford',C,24,WAS,35,4,15.2,2.8,3.7,0.746,0,0,?,2.8,3.7,0.746,0.746,1.2,2,0.592,1.7,2.6,4.4,0.5,0.4,1.1,0.9,1.9,6.7,1930681
'Danuel House Jr.',SF,29,PHI,28,2,17,1.7,3.4,0.495,0.7,2,0.345,1,1.4,0.7,0.595,0.9,1.1,0.75,0.3,1.7,2,0.8,0.2,0.3,0.5,1.4,4.9,4105000
'Dario Šarić',PF,28,PHO,17,3,10.6,1.3,3.6,0.361,0.5,1.6,0.333,0.8,2,0.382,0.434,0.5,0.6,0.8,0.9,2.1,3,0.9,0.2,0.1,0.6,1.5,3.6,9240000
'Darius Bazley',PF,22,OKC,23,1,16.6,2.1,4.9,0.438,0.5,1.4,0.364,1.6,3.4,0.468,0.491,0.9,1.8,0.488,0.9,2.8,3.7,1,0.5,1.1,0.6,1.2,5.7,4264629
'Darius Garland',PG,23,CLE,29,29,36,7.3,16.6,0.444,2.5,6.3,0.396,4.9,10.3,0.473,0.519,4.3,4.9,0.879,0.4,2.3,2.7,7.8,1.3,0.2,3.3,2.1,21.4,8920795
'David Duke Jr.',SG,23,BRK,14,0,9,1.4,3.1,0.442,0,0.4,0,1.4,2.6,0.514,0.442,0.3,0.6,0.5,0.4,0.6,1.1,0.9,0.4,0.1,0.9,1.6,3,?
'David Roddy',PF,21,MEM,32,1,18.6,2.5,6.2,0.401,0.9,3.3,0.283,1.5,2.8,0.538,0.477,0.7,1,0.636,0.6,2.1,2.7,0.7,0.4,0.3,0.8,1.4,6.5,2588640
'Davion Mitchell',PG,24,SAC,31,3,19.4,2.6,5.7,0.449,0.8,2.6,0.3,1.8,3.2,0.571,0.517,0.4,0.5,0.706,0.2,1.4,1.5,2.6,0.5,0.3,1,1.5,6.3,4833600
'Davon Reed',SG,27,DEN,22,1,10.4,0.8,2.5,0.304,0.5,1.5,0.364,0.2,1,0.217,0.411,0.5,0.6,0.714,0.3,1.2,1.5,0.5,0.3,0.1,0.6,1.1,2.5,1902133
'DayRon Sharpe',C,21,BRK,18,1,8.6,1.3,2.6,0.522,0.2,0.2,0.75,1.2,2.3,0.5,0.554,0.7,0.9,0.706,1.3,1.9,3.2,0.6,0.2,0.6,0.7,1.7,3.5,2109480
'DeAaron Fox',PG,25,SAC,29,29,32.3,8.6,17,0.504,1.8,5.1,0.345,6.8,11.9,0.573,0.556,4.4,5.7,0.782,0.4,4.4,4.9,5.5,0.9,0.4,2.6,2.7,23.3,30351780
'DeAndre Hunter',SF,25,ATL,28,28,30.7,5.4,12,0.448,1.4,4,0.354,3.9,7.9,0.495,0.507,2.8,3.4,0.823,0.6,3.4,4.1,1.2,0.4,0.2,1.3,2.9,15,9835881
'DeAnthony Melton',PG,24,PHI,30,23,30.2,4.4,10.4,0.423,2.4,6.2,0.392,2,4.2,0.468,0.54,0.6,0.9,0.704,1.1,3.6,4.7,3.2,2,0.4,1.7,2.3,11.9,8250000
'DeAndre Jordan',C,34,DEN,25,3,14.4,2.1,2.7,0.776,0,0,1,2,2.6,0.773,0.784,0.6,1.4,0.471,1.4,3.9,5.2,0.8,0.2,0.6,1.1,1.6,4.8,9663997
'DeAndre Jordan',C,34,DEN,25,3,14.4,2.1,2.7,0.776,0,0,1,2,2.6,0.773,0.784,0.6,1.4,0.471,1.4,3.9,5.2,0.8,0.2,0.6,1.1,1.6,4.8,9663997
'DeMar DeRozan',SF,33,CHI,33,33,35.7,9.2,18.1,0.508,0.4,1.4,0.298,8.8,16.6,0.526,0.52,7.2,8.1,0.888,0.5,4.5,5,5,0.8,0.4,2,2.8,26,27300000
'Dean Wade',PF,26,CLE,17,9,24.1,2.2,4.9,0.452,1.4,3.3,0.411,0.9,1.6,0.536,0.589,0.5,0.8,0.692,0.6,3.5,4.1,1,0.7,0.4,0.4,2.5,6.4,1930681
'Deandre Ayton',C,24,PHO,31,31,28.8,7.7,12.4,0.618,0.2,0.5,0.353,7.5,11.9,0.63,0.626,2.1,2.9,0.725,2.9,6.8,9.7,1.9,0.5,0.8,2.1,2.9,17.7,30913750
'Dejounte Murray',SG,26,ATL,29,29,35.8,8,17.9,0.449,2,5.7,0.349,6,12.2,0.496,0.505,2.3,2.8,0.838,0.7,4.5,5.2,6.1,1.8,0.4,2.6,1.8,20.4,16571120
'Delon Wright',PG,30,WAS,6,0,20.5,2,5,0.4,0.7,2.5,0.267,1.3,2.5,0.533,0.467,1.2,1.7,0.7,0.7,1.2,1.8,3.7,2.5,0.7,0.7,1.3,5.8,7804878
'Deni Avdija',SF,22,WAS,33,29,25.9,2.9,7,0.417,0.9,3,0.303,2,4,0.504,0.483,1.4,1.7,0.804,0.9,4.6,5.5,2.6,0.8,0.7,1.4,3.1,8.1,4916160
'Dennis Schröder',PG,29,LAL,20,17,26.9,3.6,8.2,0.439,1,2.9,0.345,2.6,5.3,0.491,0.5,2.1,2.3,0.913,0.2,2,2.2,3.7,0.5,0,1.7,2.2,10.3,1836090
'Dennis Smith Jr.',PG,25,CHO,15,11,27.9,4.1,8.9,0.463,0.7,2,0.333,3.5,6.9,0.5,0.5,0.4,0.8,0.5,0.6,2.7,3.3,5.7,1.8,0.7,1.5,2.3,9.3,1836090
'Dereon Seabron',SG,22,NOP,2,0,1.5,0,0,?,0,0,?,0,0,?,?,0,0,?,0,0,0,0,0,0,0,0,0,?
'Derrick Jones Jr.',SF,25,CHI,25,0,13.8,1.9,3.8,0.5,0.4,1.3,0.344,1.5,2.6,0.578,0.557,1.2,1.4,0.833,0.9,1.4,2.3,0.6,0.5,0.7,0.4,1.3,5.5,3200000
'Derrick Rose',PG,34,NYK,24,0,12.8,2.4,6,0.4,0.8,2.3,0.345,1.6,3.8,0.433,0.466,0.4,0.4,1,0.3,1.3,1.6,1.8,0.3,0.2,0.9,0.7,6,14520730
'Derrick White',SG,28,BOS,35,28,26.1,3.3,7.5,0.439,1.5,4,0.371,1.8,3.5,0.516,0.538,1.8,2.1,0.861,0.6,2.5,3.1,3.1,0.8,0.8,1,2.3,9.8,16892857
'Desmond Bane',SG,24,MEM,15,15,31.9,7.3,16.7,0.434,3.2,8.1,0.397,4.1,8.7,0.469,0.53,4.7,5.1,0.921,0.4,4.1,4.5,3.9,0.5,0.3,2,2.5,22.4,2130240
'Devin Booker',SG,26,PHO,29,29,34.6,9.8,20.4,0.477,2.3,6.2,0.37,7.4,14.2,0.524,0.534,5.3,6.2,0.85,0.8,3.8,4.6,5.6,0.9,0.4,2.4,2.7,27.1,33833400
'Devin Vassell',SG,22,SAS,28,23,31.5,7.2,16.1,0.447,2.8,7,0.403,4.4,9.1,0.48,0.534,2.4,3,0.8,0.2,3.8,4,3.6,1.3,0.4,1.6,1.5,19.6,4437000
'Devon Dotson',PG,23,WAS,6,0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0,1,0,0.15,0,0,?,1,0.7,1.7,1.3,0.8,0,0.5,1.5,0.5,?
'Devonte Graham',PG,27,NOP,33,0,15,1.7,4.4,0.377,1.3,3.6,0.361,0.4,0.8,0.444,0.524,1,1.2,0.821,0.3,1.2,1.5,2.1,0.5,0.2,0.6,0.8,5.6,11550000
'Dewayne Dedmon',C,33,MIA,26,0,12.2,2.4,4.7,0.508,0.4,1.4,0.306,2,3.3,0.593,0.553,1.2,1.6,0.714,1,2.7,3.7,0.6,0.2,0.5,0.7,2,6.3,7566667
'Dewayne Dedmon',C,33,MIA,26,0,12.2,2.4,4.7,0.508,0.4,1.4,0.306,2,3.3,0.593,0.553,1.2,1.6,0.714,1,2.7,3.7,0.6,0.2,0.5,0.7,2,6.3,7566667
'Dillon Brooks',SG,27,MEM,30,30,30.6,6.5,15.9,0.41,2.2,6.5,0.345,4.3,9.4,0.454,0.48,2.2,2.8,0.783,0.7,2.9,3.6,2.7,0.9,0.1,1.8,3.3,17.4,11400000
'Domantas Sabonis',PF,26,SAC,31,31,33.6,6.5,10.6,0.612,0.5,1.2,0.389,6.1,9.5,0.639,0.633,4.5,6,0.746,2.9,9.5,12.4,6.7,0.8,0.5,2.5,3.6,17.9,18500000
'Dominick Barlow',SF,19,SAS,4,0,6.5,0.8,1.8,0.429,0,0.8,0,0.8,1,0.75,0.429,1,1,1,0.5,0.3,0.8,0.8,0.3,0,0,0.8,2.5,?
'Donovan Mitchell',SG,26,CLE,31,31,36.3,9.9,20.1,0.492,3.8,9.2,0.418,6.1,10.9,0.555,0.587,4.8,5.5,0.882,0.9,2.9,3.8,4.5,1.4,0.4,2.9,2.6,28.5,30351780
